# BEGIN PLOT
DrawOnly=/REF/CMS_2014_I1298810/d11-x01-y01 /ctest/mY_600_mX_100/mY_600_mX_100.yoda/CMS_2014_I1298810/d11-x01-y01 /THY/CMS_2014_I1298810/d11-x01-y01
Title=CMS, $pp$, $\sqrt{s} = 7\,\text{TeV}$, anti-$k_\mathrm{T}$, $R=0.7$ ($2.0 < \left|y\right| < 2.5$)
RatioPlotReference=/REF/CMS_2014_I1298810/d11-x01-y01
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$p_{T}$ (GeV)
MainPlot=1
YLabel=$d^2\sigma/dp_{T}dy$ (pb/GeV)
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2014_I1298810/d11-x01-y01
ErrorBars=1
IsRef=1
LineColor=green
Path=/REF/CMS_2014_I1298810/d11-x01-y01
PolyMarker=!<!> "*"
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.330000e+02	1.530000e+02	5.108648e+02	5.604620e+01	5.604620e+01
1.530000e+02	1.740000e+02	2.219153e+02	2.518876e+01	2.518876e+01
1.740000e+02	1.960000e+02	1.009246e+02	1.148731e+01	1.148731e+01
1.960000e+02	2.200000e+02	4.403567e+01	5.228265e+00	5.228265e+00
2.200000e+02	2.450000e+02	2.055154e+01	2.580351e+00	2.580351e+00
2.450000e+02	2.720000e+02	9.413556e+00	1.265024e+00	1.265024e+00
2.720000e+02	3.000000e+02	4.054131e+00	5.932670e-01	5.932670e-01
3.000000e+02	3.300000e+02	1.792991e+00	2.718871e-01	2.718871e-01
3.300000e+02	3.620000e+02	7.811101e-01	1.289273e-01	1.289273e-01
3.620000e+02	3.950000e+02	3.189283e-01	5.742808e-02	5.742808e-02
3.950000e+02	4.300000e+02	1.219313e-01	2.432968e-02	2.432968e-02
4.300000e+02	4.680000e+02	4.661188e-02	1.047611e-02	1.047611e-02
4.680000e+02	5.070000e+02	1.612091e-02	4.188562e-03	4.188562e-03
5.070000e+02	5.480000e+02	5.250634e-03	1.533090e-03	1.533090e-03
5.480000e+02	5.920000e+02	1.648835e-03	5.712813e-04	5.712813e-04
# END HISTO1D


# BEGIN HISTO1D /ctest/mY_600_mX_100/mY_600_mX_100.yoda/CMS_2014_I1298810/d11-x01-y01
LineColor=red
Path=/ctest/mY_600_mX_100/mY_600_mX_100.yoda/CMS_2014_I1298810/d11-x01-y01
Title=[12]  0.04
# xlow	 xhigh	 val	 errminus	 errplus
5.600000e+01	6.400000e+01	6.642569e+04	9.981162e+03	9.981162e+03
6.400000e+01	7.400000e+01	3.258375e+04	4.383932e+03	4.383932e+03
7.400000e+01	8.400000e+01	1.573321e+04	1.960636e+03	1.960636e+03
8.400000e+01	9.700000e+01	7.202570e+03	8.543180e+02	8.543180e+02
9.700000e+01	1.140000e+02	3.020291e+03	3.349620e+02	3.349620e+02
1.140000e+02	1.330000e+02	1.218589e+03	1.325663e+02	1.325663e+02
1.330000e+02	1.530000e+02	5.110068e+02	5.605729e+01	5.605729e+01
1.530000e+02	1.740000e+02	2.220555e+02	2.519952e+01	2.519952e+01
1.740000e+02	1.960000e+02	1.010183e+02	1.149590e+01	1.149590e+01
1.960000e+02	2.200000e+02	4.412228e+01	5.236172e+00	5.236172e+00
2.200000e+02	2.450000e+02	2.063192e+01	2.587814e+00	2.587814e+00
2.450000e+02	2.720000e+02	9.471940e+00	1.271144e+00	1.271144e+00
2.720000e+02	3.000000e+02	4.077022e+00	5.970302e-01	5.970302e-01
3.000000e+02	3.300000e+02	1.801075e+00	2.740476e-01	2.740476e-01
3.300000e+02	3.620000e+02	7.816514e-01	1.294686e-01	1.294686e-01
3.620000e+02	3.950000e+02	3.199782e-01	5.817045e-02	5.817045e-02
3.950000e+02	4.300000e+02	1.224262e-01	2.482462e-02	2.482462e-02
4.300000e+02	4.680000e+02	4.661188e-02	1.047611e-02	1.047611e-02
4.680000e+02	5.070000e+02	1.612091e-02	4.188562e-03	4.188562e-03
5.070000e+02	5.480000e+02	5.250634e-03	1.533090e-03	1.533090e-03
5.480000e+02	5.920000e+02	1.648835e-03	5.712813e-04	5.712813e-04
# END HISTO1D

